date,close
2020-04-13,104.2946
2020-04-14,104.4328
2020-04-15,105.3660
2020-04-16,105.4784
2020-04-17,105.2018
2020-04-20,105.4784
2020-04-21,105.7721
2020-04-22,105.4438
2020-04-23,105.5129
2020-04-24,105.5389
2020-04-27,104.9772
2020-04-28,105.4351
2020-04-29,105.3833
2020-04-30,105.1328
2020-05-01,105.2780
2020-05-04,105.2953
2020-05-05,105.2175
2020-05-06,104.8282
2020-05-07,105.4683
2020-05-08,105.1223
2020-05-11,104.8282
2020-05-12,105.1742
2020-05-13,105.3905
2020-05-14,105.5548
2020-05-15,105.4856
2020-05-18,104.8369
2020-05-19,105.1310
2020-05-20,105.1570
2020-05-21,105.2262
2020-05-22,105.4251
2020-05-26,105.1483
2020-05-27,105.2348
2020-05-28,105.1396
2020-05-29,105.4770
2020-06-01,105.4354
2020-06-02,105.2623
2020-06-03,104.6388
2020-06-04,104.2233
2020-06-05,103.7037
2020-06-08,103.8163
2020-06-09,104.1886
2020-06-10,104.9678
2020-06-11,105.3402
2020-06-12,105.1064
2020-06-15,105.0198
2020-06-16,104.8033
2020-06-17,104.9678
2020-06-18,105.2016
2020-06-19,105.2363
2020-06-22,105.1410
2020-06-23,105.1064
2020-06-24,105.3055
2020-06-25,105.3229
2020-06-26,105.6086
2020-06-29,105.7125
2020-06-30,105.5220
2020-07-01,105.3573
2020-07-02,105.4874
2020-07-06,105.3314
2020-07-07,105.6693
2020-07-08,105.5047
2020-07-09,105.8427
2020-07-10,105.6347
2020-07-13,105.7473
2020-07-14,105.7387
2020-07-15,105.7040
2020-07-16,105.7820
2020-07-17,105.7560
2020-07-20,105.8253
2020-07-21,105.9380
2020-07-22,105.9727
2020-07-23,106.0766
2020-07-24,106.0247
2020-07-27,105.8600
2020-07-28,106.1113
2020-07-29,106.2500
2020-07-30,106.3973
2020-07-31,106.4233
2020-08-03,106.3712
2020-08-04,106.7356
2020-08-05,106.3800
2020-08-06,106.5013
2020-08-07,106.2758
2020-08-10,106.1631
2020-08-11,105.7988
2020-08-12,105.4866
2020-08-13,105.2698
2020-08-14,105.3218
2020-08-17,105.4952
2020-08-18,105.6774
2020-08-19,105.5386
2020-08-20,105.8422
2020-08-21,105.9202
2020-08-24,105.7728
2020-08-25,105.5213
2020-08-26,105.4779
2020-08-27,105.1049
2020-08-28,105.2784
2020-08-31,105.3912
2020-09-01,105.7366
2020-09-02,105.8842
2020-09-03,106.0230
2020-09-04,105.4328
2020-09-08,105.6585
2020-09-09,105.6064
2020-09-10,105.7366
2020-09-11,105.9015
2020-09-14,105.8060
2020-09-15,105.7540
2020-09-16,105.6932
2020-09-17,105.7279
2020-09-18,105.6324
2020-09-21,105.8234
2020-09-22,105.8234
2020-09-23,105.8234
2020-09-24,105.8755
2020-09-25,105.9623
2020-09-28,105.9449
2020-09-29,106.0230
