date,close
2020-04-13,161.4100
2020-04-14,162.6800
2020-04-15,161.8500
2020-04-16,161.7100
2020-04-17,158.5700
2020-04-20,159.7000
2020-04-21,158.6100
2020-04-22,161.7300
2020-04-23,163.3400
2020-04-24,162.6400
2020-04-27,161.5600
2020-04-28,160.8400
2020-04-29,161.7300
2020-04-30,158.8000
2020-05-01,159.7800
2020-05-04,160.3400
2020-05-05,161.0200
2020-05-06,158.9500
2020-05-07,161.3900
2020-05-08,160.4200
2020-05-11,159.4200
2020-05-12,160.0400
2020-05-13,161.5800
2020-05-14,163.0100
2020-05-15,163.9300
2020-05-18,162.6900
2020-05-19,164.2600
2020-05-20,164.6500
2020-05-21,162.2500
2020-05-22,163.2100
2020-05-26,160.8900
2020-05-27,161.1800
2020-05-28,161.7200
2020-05-29,162.9100
2020-06-01,163.6600
2020-06-02,162.6000
2020-06-03,159.6000
2020-06-04,161.2800
2020-06-05,158.0100
2020-06-08,159.7200
2020-06-09,161.2600
2020-06-10,163.5700
2020-06-11,162.3900
2020-06-12,162.6200
2020-06-15,162.3300
2020-06-16,162.2500
2020-06-17,162.5600
2020-06-18,162.2400
2020-06-19,164.0300
2020-06-22,165.0900
2020-06-23,166.4800
2020-06-24,165.9000
2020-06-25,165.8000
2020-06-26,166.5400
2020-06-29,166.6300
2020-06-30,167.3700
2020-07-01,166.6200
2020-07-02,166.9800
2020-07-06,167.9800
2020-07-07,169.0400
2020-07-08,170.0900
2020-07-09,169.6300
2020-07-10,169.1900
2020-07-13,169.4000
2020-07-14,170.1900
2020-07-15,170.3400
2020-07-16,168.7300
2020-07-17,170.1200
2020-07-20,170.9400
2020-07-21,173.0000
2020-07-22,175.6300
2020-07-23,177.1800
2020-07-24,178.7000
2020-07-27,182.2300
2020-07-28,183.7500
2020-07-29,185.1300
2020-07-30,183.7600
2020-07-31,185.4300
2020-08-03,185.6400
2020-08-04,189.5900
2020-08-05,191.3500
2020-08-06,193.8900
2020-08-07,190.8100
2020-08-10,190.1500
2020-08-11,179.9400
2020-08-12,179.1000
2020-08-13,183.3300
2020-08-14,182.5400
2020-08-17,186.5000
2020-08-18,188.1800
2020-08-19,182.2400
2020-08-20,183.5000
2020-08-21,182.0300
2020-08-24,181.0000
2020-08-25,181.2200
2020-08-26,183.3600
2020-08-27,181.2400
2020-08-28,184.3900
2020-08-31,184.8300
2020-09-01,185.0500
2020-09-02,182.6200
2020-09-03,181.1400
2020-09-04,181.6400
2020-09-08,181.2900
2020-09-09,183.0500
2020-09-10,182.4600
2020-09-11,182.4500
2020-09-14,183.8900
2020-09-15,183.4500
2020-09-16,183.9700
2020-09-17,182.9600
2020-09-18,183.2000
2020-09-21,179.5200
2020-09-22,178.6500
2020-09-23,174.7900
2020-09-24,175.4400
2020-09-25,174.9400
2020-09-28,176.7000
2020-09-29,178.1900
2020-09-30,177.1200
2020-10-01,178.7000
2020-10-02,178.5400
2020-10-05,179.4100
2020-10-06,177.3000
2020-10-07,177.2200
2020-10-08,177.8500
2020-10-09,181.0800
2020-10-12,180.5600
2020-10-13,177.7200
2020-10-14,178.2700
2020-10-15,178.9200
2020-10-16,178.3000
2020-10-19,178.3900
2020-10-20,179.2500
2020-10-21,180.6000
2020-10-22,178.8300
2020-10-23,178.6400
2020-10-26,178.5500
2020-10-27,179.0200
2020-10-28,176.1300
2020-10-29,175.4000
2020-10-30,176.2000
2020-11-02,177.9100
2020-11-03,178.9200
2020-11-04,178.8200
2020-11-05,182.9300
2020-11-06,183.1900
2020-11-09,175.0800
2020-11-10,175.6600
2020-11-11,174.9000
2020-11-12,175.9600
2020-11-13,177.1600
2020-11-16,177.1500
2020-11-17,176.5000
2020-11-18,175.4900
2020-11-19,175.1600
2020-11-20,175.6900
2020-11-23,172.2300
2020-11-24,169.5900
2020-11-25,169.5100
2020-11-27,167.7900
2020-11-30,166.6700
2020-12-01,170.1800
2020-12-02,171.4600
2020-12-03,172.8100
2020-12-04,172.3200
2020-12-07,174.8900
2020-12-08,175.5000
2020-12-09,172.5000
2020-12-10,172.1700
2020-12-11,172.4900
2020-12-14,171.5400
2020-12-15,173.9400
2020-12-16,174.9000
2020-12-17,176.7400
2020-12-18,176.4400
2020-12-21,175.8800
2020-12-22,174.4900
2020-12-23,175.6500
2020-12-24,176.3500
2020-12-28,175.7100
2020-12-29,176.3500
2020-12-30,177.7000
2020-12-31,178.3600
2021-01-04,182.3300
2021-01-05,182.8700
2021-01-06,179.9000
2021-01-07,179.4800
2021-01-08,173.3400
2021-01-11,173.0000
2021-01-12,174.1200
2021-01-13,173.3700
2021-01-14,173.2800
2021-01-15,171.1300
2021-01-19,172.5800
2021-01-20,175.3900
2021-01-21,175.2800
2021-01-22,173.9000
2021-01-25,174.0500
2021-01-26,173.6200
2021-01-27,172.5200
2021-01-28,172.6800
2021-01-29,172.6100
2021-02-01,174.2300
2021-02-02,172.1100
2021-02-03,171.8500
2021-02-04,168.1500
2021-02-05,169.8100
2021-02-08,171.5200
2021-02-09,172.0800
2021-02-10,172.7100
2021-02-11,171.2100
2021-02-12,170.6900
2021-02-16,168.2400
2021-02-17,166.3300
2021-02-18,166.3200
2021-02-19,167.0100
2021-02-22,169.5100
2021-02-23,169.1200
2021-02-24,169.0000
2021-02-25,165.8200
2021-02-26,161.8100
2021-03-01,161.5300
2021-03-02,162.4100
2021-03-03,160.6200
2021-03-04,159.0400
2021-03-05,159.1400
2021-03-08,157.4900
2021-03-09,160.8400
2021-03-10,161.6600
2021-03-11,161.5200
2021-03-12,161.4900
2021-03-15,162.2000
2021-03-16,162.3500
2021-03-17,163.5100
2021-03-18,162.5600
2021-03-19,163.2400
2021-03-22,163.0000
2021-03-23,161.8100
2021-03-24,162.3700
2021-03-25,161.7800
2021-03-26,162.2400
2021-03-29,160.3100
2021-03-30,157.5700
2021-03-31,159.9600
2021-04-01,161.9800
2021-04-05,161.9200
2021-04-06,163.2200
2021-04-07,162.7600
