date,close
2020-04-13,75.5627
2020-04-14,75.5627
2020-04-15,75.5889
2020-04-16,75.6063
2020-04-17,75.5802
2020-04-20,75.5802
2020-04-21,75.5976
2020-04-22,75.5714
2020-04-23,75.5627
2020-04-24,75.5627
2020-04-27,75.5627
2020-04-28,75.5889
2020-04-29,75.5802
2020-04-30,75.7110
2020-05-01,75.5993
2020-05-04,75.5993
2020-05-05,75.5905
2020-05-06,75.6167
2020-05-07,75.6691
2020-05-08,75.6516
2020-05-11,75.6255
2020-05-12,75.6429
2020-05-13,75.6429
2020-05-14,75.6255
2020-05-15,75.6691
2020-05-18,75.6080
2020-05-19,75.6516
2020-05-20,75.6516
2020-05-21,75.6342
2020-05-22,75.6342
2020-05-26,75.6342
2020-05-27,75.6167
2020-05-28,75.6516
2020-05-29,75.6516
2020-06-01,75.6429
2020-06-02,75.6429
2020-06-03,75.5817
2020-06-04,75.5992
2020-06-05,75.5730
2020-06-08,75.5556
2020-06-09,75.5817
2020-06-10,75.6254
2020-06-11,75.5905
2020-06-12,75.6167
2020-06-15,75.5992
2020-06-16,75.5905
2020-06-17,75.6167
2020-06-18,75.6079
2020-06-19,75.6254
2020-06-22,75.6079
2020-06-23,75.6254
2020-06-24,75.6341
2020-06-25,75.6341
2020-06-26,75.6604
2020-06-29,75.6778
2020-06-30,75.6691
2020-07-01,75.6438
2020-07-02,75.6787
2020-07-06,75.6525
2020-07-07,75.6700
2020-07-08,75.6700
2020-07-09,75.6875
2020-07-10,75.6613
2020-07-13,75.6613
2020-07-14,75.6700
2020-07-15,75.6787
2020-07-16,75.6787
2020-07-17,75.6962
2020-07-20,75.6787
2020-07-21,75.6962
2020-07-22,75.6875
2020-07-23,75.6875
2020-07-24,75.6962
2020-07-27,75.6700
2020-07-28,75.6875
2020-07-29,75.7050
2020-07-30,75.7312
2020-07-31,75.7399
2020-08-03,75.7399
2020-08-04,75.7487
2020-08-05,75.7312
2020-08-06,75.7312
2020-08-07,75.7224
2020-08-10,75.7050
2020-08-11,75.6874
2020-08-12,75.6700
2020-08-13,75.6612
2020-08-14,75.6700
2020-08-17,75.6787
2020-08-18,75.6874
2020-08-19,75.6874
2020-08-20,75.6874
2020-08-21,75.6787
2020-08-24,75.6700
2020-08-25,75.6787
2020-08-26,75.6787
2020-08-27,75.6700
2020-08-28,75.6962
2020-08-31,75.7224
2020-09-01,75.7040
2020-09-02,75.7128
2020-09-03,75.7040
2020-09-04,75.6778
2020-09-08,75.6865
2020-09-09,75.6953
2020-09-10,75.6865
2020-09-11,75.7040
2020-09-14,75.6953
2020-09-15,75.7040
2020-09-16,75.7128
2020-09-17,75.6953
2020-09-18,75.7040
2020-09-21,75.6953
2020-09-22,75.7128
2020-09-23,75.7128
2020-09-24,75.7040
2020-09-25,75.7128
2020-09-28,75.7216
2020-09-29,75.7128
2020-09-30,75.7216
2020-10-01,75.7040
2020-10-02,75.7128
2020-10-05,75.6865
2020-10-06,75.6865
2020-10-07,75.6778
2020-10-08,75.6778
2020-10-09,75.6778
2020-10-12,75.6953
2020-10-13,75.6865
2020-10-14,75.6865
2020-10-15,75.7040
2020-10-16,75.6953
2020-10-19,75.6953
2020-10-20,75.6865
2020-10-21,75.6865
2020-10-22,75.6603
2020-10-23,75.6690
2020-10-26,75.6778
2020-10-27,75.6778
2020-10-28,75.6778
2020-10-29,75.6953
2020-10-30,75.6865
2020-11-02,75.6856
2020-11-03,75.6681
2020-11-04,75.6856
2020-11-05,75.6681
2020-11-06,75.6769
2020-11-09,75.6506
2020-11-10,75.6418
2020-11-11,75.6243
2020-11-12,75.6331
2020-11-13,75.6331
2020-11-16,75.6506
2020-11-17,75.6418
2020-11-18,75.6418
2020-11-19,75.6594
2020-11-20,75.6681
2020-11-23,75.6681
2020-11-24,75.6769
2020-11-25,75.6856
2020-11-27,75.6856
2020-11-30,75.7032
2020-12-01,75.6620
2020-12-02,75.6795
2020-12-03,75.6971
2020-12-04,75.6883
2020-12-07,75.7058
2020-12-08,75.6883
2020-12-09,75.6795
2020-12-10,75.6971
2020-12-11,75.7409
2020-12-14,75.7321
2020-12-15,75.7321
2020-12-16,75.7321
2020-12-17,75.7338
2020-12-18,75.7251
2020-12-21,75.7251
2020-12-22,75.7251
2020-12-23,75.7426
2020-12-24,75.7251
2020-12-28,75.7338
2020-12-29,75.7338
2020-12-30,75.7426
2020-12-31,75.7338
2021-01-04,75.7426
2021-01-05,75.7426
2021-01-06,75.6988
2021-01-07,75.7163
2021-01-08,75.7075
2021-01-11,75.6988
2021-01-12,75.6988
2021-01-13,75.6900
2021-01-14,75.6988
2021-01-15,75.7075
2021-01-19,75.7338
2021-01-20,75.7251
2021-01-21,75.7338
2021-01-22,75.7338
2021-01-25,75.7426
2021-01-26,75.7338
2021-01-27,75.7338
2021-01-28,75.7251
2021-01-29,75.7514
2021-02-01,75.7602
2021-02-02,75.7338
2021-02-03,75.7426
2021-02-04,75.7426
2021-02-05,75.7602
2021-02-08,75.7514
2021-02-09,75.7338
2021-02-10,75.7426
2021-02-11,75.7426
2021-02-12,75.7514
2021-02-16,75.7251
2021-02-17,75.7426
2021-02-18,75.7426
2021-02-19,75.7514
2021-02-22,75.7338
2021-02-23,75.7426
2021-02-24,75.7251
2021-02-25,75.6110
2021-02-26,75.7076
2021-03-01,75.7006
2021-03-02,75.7180
2021-03-03,75.6742
2021-03-04,75.6742
2021-03-05,75.6742
2021-03-08,75.6479
2021-03-09,75.6479
2021-03-10,75.6742
2021-03-11,75.6742
2021-03-12,75.6654
2021-03-15,75.6742
2021-03-16,75.6742
2021-03-17,75.6918
2021-03-18,75.6830
2021-03-19,75.6830
2021-03-22,75.6742
2021-03-23,75.6830
2021-03-24,75.7006
2021-03-25,75.7093
2021-03-26,75.7093
2021-03-29,75.6918
2021-03-30,75.6918
2021-03-31,75.6654
2021-04-01,75.6646
2021-04-05,75.6470
2021-04-06,75.6646
2021-04-07,75.6733
2021-04-08,75.6996
2021-04-09,75.6733
2021-04-12,75.6558
2021-04-13,75.6821
2021-04-14,75.6821
2021-04-15,75.6996
2021-04-16,75.6909
2021-04-19,75.6821
2021-04-20,75.6996
2021-04-21,75.7172
2021-04-22,75.7084
2021-04-23,75.6909
2021-04-26,75.6733
2021-04-27,75.6646
2021-04-28,75.6821
2021-04-29,75.6996
2021-04-30,75.7084
2021-05-03,75.7014
2021-05-04,75.7014
2021-05-05,75.7190
2021-05-06,75.7190
2021-05-07,75.7452
2021-05-10,75.7190
2021-05-11,75.7102
2021-05-12,75.7014
2021-05-13,75.7190
2021-05-14,75.7190
2021-05-17,75.7190
2021-05-18,75.7278
2021-05-19,75.7014
2021-05-20,75.7365
2021-05-21,75.7190
2021-05-24,75.7365
2021-05-25,75.7365
2021-05-26,75.7541
2021-05-27,75.7541
2021-05-28,75.7541
2021-06-01,75.7383
2021-06-02,75.7470
2021-06-03,75.7207
2021-06-04,75.7470
2021-06-07,75.7383
2021-06-08,75.7558
2021-06-09,75.7383
2021-06-10,75.7646
2021-06-11,75.7470
2021-06-14,75.7207
2021-06-15,75.7119
2021-06-16,75.6417
2021-06-17,75.6417
2021-06-18,75.5802
2021-06-21,75.5978
2021-06-22,75.6417
2021-06-23,75.5890
2021-06-24,75.5978
2021-06-25,75.5890
2021-06-28,75.6154
2021-06-29,75.6066
2021-06-30,75.6241
2021-07-01,75.6092
2021-07-02,75.6443
2021-07-06,75.6707
2021-07-07,75.6794
2021-07-08,75.7146
2021-07-09,75.6883
2021-07-12,75.6707
2021-07-13,75.6092
2021-07-14,75.6619
2021-07-15,75.6707
2021-07-16,75.6619
2021-07-19,75.6970
2021-07-20,75.7321
2021-07-21,75.7058
2021-07-22,75.7146
2021-07-23,75.7233
2021-07-26,75.7058
2021-07-27,75.7233
2021-07-28,75.7321
2021-07-29,75.7321
2021-07-30,75.7497
2021-08-02,75.7777
2021-08-03,75.7777
2021-08-04,75.7514
2021-08-05,75.7163
2021-08-06,75.6900
2021-08-09,75.6636
2021-08-10,75.6373
2021-08-11,75.6724
2021-08-12,75.6724
2021-08-13,75.6812
2021-08-16,75.6988
2021-08-17,75.6812
2021-08-18,75.6812
2021-08-19,75.6812
2021-08-20,75.6812
2021-08-23,75.6812
2021-08-24,75.6724
2021-08-25,75.6636
2021-08-26,75.6636
2021-08-27,75.7163
2021-08-30,75.7339
2021-08-31,75.7251
2021-09-01,75.7189
2021-09-02,75.7189
2021-09-03,75.7189
2021-09-07,75.6926
2021-09-08,75.7102
2021-09-09,75.7277
2021-09-10,75.7014
