date,close
2020-04-13,253.3981
2020-04-14,260.8716
2020-04-15,255.3285
2020-04-16,256.5602
2020-04-17,263.4914
2020-04-20,258.8492
2020-04-21,250.9897
2020-04-22,256.5602
2020-04-23,256.5419
2020-04-24,260.1177
2020-04-27,263.8682
2020-04-28,262.6549
2020-04-29,269.5308
2020-04-30,267.0213
2020-05-01,259.9522
2020-05-04,260.6693
2020-05-05,263.0777
2020-05-06,261.2944
2020-05-07,264.4474
2020-05-08,268.8230
2020-05-11,268.8782
2020-05-12,263.5190
2020-05-13,258.8584
2020-05-14,261.9562
2020-05-15,263.1605
2020-05-18,271.1762
2020-05-19,268.3909
2020-05-20,272.9503
2020-05-21,271.0659
2020-05-22,271.5807
2020-05-26,274.9268
2020-05-27,279.0174
2020-05-28,278.5026
2020-05-29,279.7436
2020-06-01,280.8742
2020-06-02,283.1999
2020-06-03,286.9688
2020-06-04,286.2150
2020-06-05,293.5505
2020-06-08,297.0988
2020-06-09,294.8835
2020-06-10,293.2380
2020-06-11,276.3332
2020-06-12,279.6425
2020-06-15,282.2531
2020-06-16,287.6858
2020-06-17,286.4908
2020-06-18,286.6010
2020-06-19,284.9632
2020-06-22,286.7913
2020-06-23,288.1116
2020-06-24,280.7622
2020-06-25,283.7721
2020-06-26,277.0321
2020-06-29,281.1039
2020-06-30,284.7046
2020-07-01,286.6989
2020-07-02,288.2779
2020-07-06,292.7280
2020-07-07,289.7088
2020-07-08,291.9248
2020-07-09,290.2629
2020-07-10,293.2266
2020-07-13,290.6875
2020-07-14,294.4545
2020-07-15,297.1598
2020-07-16,296.1812
2020-07-17,297.0397
2020-07-20,299.4404
2020-07-21,300.0774
2020-07-22,301.7855
2020-07-23,298.1847
2020-07-24,296.2642
2020-07-27,298.4247
2020-07-28,296.5320
2020-07-29,300.1790
2020-07-30,299.1079
2020-07-31,301.4715
2020-08-03,303.5675
2020-08-04,304.7400
2020-08-05,306.6327
2020-08-06,308.6824
2020-08-07,308.9041
2020-08-10,309.8273
2020-08-11,307.2698
2020-08-12,311.5538
2020-08-13,310.9906
2020-08-14,310.9999
2020-08-17,311.9877
2020-08-18,312.6618
2020-08-19,311.3600
2020-08-20,312.3294
2020-08-21,313.4373
2020-08-24,316.6135
2020-08-25,317.7214
2020-08-26,320.9067
2020-08-27,321.6085
2020-08-28,323.6858
2020-08-31,322.5132
2020-09-01,325.5509
2020-09-02,330.2597
2020-09-03,318.8940
2020-09-04,316.2903
2020-09-08,307.6484
2020-09-09,313.7236
2020-09-10,308.2762
2020-09-11,308.4332
2020-09-14,312.4956
2020-09-15,314.0744
2020-09-16,312.8280
2020-09-17,310.0766
2020-09-18,306.5068
2020-09-21,303.0955
2020-09-22,306.1823
2020-09-23,299.0816
2020-09-24,299.8789
2020-09-25,304.7270
2020-09-28,309.7883
2020-09-29,308.1012
2020-09-30,310.4372
2020-10-01,312.4302
2020-10-02,309.4638
2020-10-05,314.9516
2020-10-06,310.4742
2020-10-07,315.8785
2020-10-08,318.6780
2020-10-09,321.5239
2020-10-12,326.6965
2020-10-13,324.5644
2020-10-14,322.5250
2020-10-15,322.1264
2020-10-16,321.9317
2020-10-19,317.0373
2020-10-20,318.3073
2020-10-21,317.7047
2020-10-22,319.4474
2020-10-23,320.5321
2020-10-26,314.6086
2020-10-27,313.5240
2020-10-28,302.8081
2020-10-29,305.8857
2020-10-30,302.6969
2020-11-02,306.0896
2020-11-03,311.4940
2020-11-04,318.4556
2020-11-05,324.6664
2020-11-06,324.5922
2020-11-09,328.6709
2020-11-10,328.1889
2020-11-11,330.6268
2020-11-12,327.4195
2020-11-13,331.9525
2020-11-16,336.0961
2020-11-17,334.2884
2020-11-18,330.2654
2020-11-19,331.6558
2020-11-20,329.3846
2020-11-23,331.3591
2020-11-24,336.6985
2020-11-25,336.1794
2020-11-27,337.1157
2020-11-30,335.6234
2020-12-01,339.2941
2020-12-02,340.0079
2020-12-03,339.9152
2020-12-04,342.8445
2020-12-07,342.1401
2020-12-08,343.1411
2020-12-09,340.0636
2020-12-10,339.9523
2020-12-11,339.5537
2020-12-14,338.0335
2020-12-15,342.6035
2020-12-16,343.1411
2020-12-17,345.0599
2020-12-18,343.6822
2020-12-21,342.4534
2020-12-22,341.8761
2020-12-23,342.1833
2020-12-24,343.5147
2020-12-28,346.4657
2020-12-29,345.8047
2020-12-30,346.2981
2020-12-31,348.0576
2021-01-04,343.3192
2021-01-05,345.6837
2021-01-06,347.7504
2021-01-07,352.9171
